"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"1","Jayson Tatum","PF","BOS
                     BOS","26","2025","2029","5","$313,933,410","$62,786,682","Designated Veteran Extension"
"2","Giannis Antetokounmpo","PF","MIL
                     MIL","26","2021","2025","5","$228,200,420","$45,640,084","Designated Veteran Extension"
"3","Scottie Barnes","PF","TOR
                     TOR","22","2025","2029","5","$224,237,860","$44,847,572","Designated Rookie Extension"
"4","Zion Williamson","PF","NOP
                     NOP","22","2023","2027","5","$197,230,450","$39,446,090","Designated Rookie Extension"
"5","Pascal Siakam","PF","IND
                     IND","30","2024","2027","4","$188,950,272","$47,237,568","Free Agent"
"6","Domantas Sabonis","PF","SAC
                     SAC","27","2024","2027","4","$186,016,000","$46,504,000","Veteran Extension"
"7","Tobias Harris","PF","PHI
                     PHI","26","2019","2023","5","$180,000,000","$36,000,000","maximum"
"8","Giannis Antetokounmpo","PF","MIL
                     MIL","28","2025","2027","3","$175,369,471","$58,456,490","Maximum Veteran Extension"
"9","Jayson Tatum","PF","BOS
                     BOS","22","2021","2025","5","$163,000,300","$32,600,060","Designated Rookie Extension"
"10","Jerami Grant","PF","POR
                     POR","29","2023","2027","5","$160,000,000","$32,000,000","Free Agent"
"11","Kristaps Porzingis","PF","DAL
                     DAL","23","2019","2023","5","$158,253,000","$31,650,600","maximum"
"12","LeBron James","PF","LAL
                     LAL","33","2018","2021","4","$153,312,846","$38,328,212","maximum"
"13","Pascal Siakam","PF","TOR
                     TOR","25","2020","2023","4","$136,905,216","$34,226,304","rookie-maximum-extension"
"14","Jaden McDaniels","PF","MIN
                     MIN","23","2024","2028","5","$131,000,000","$26,200,000","Rookie Extension"
"15","Kevin Garnett","PF","MIN
                     MIN","21","1998","2003","6","$126,016,300","$21,002,717","Rookie Extension"
"16","John Collins","PF","ATL
                     ATL","23","2021","2025","5","$125,000,000","$25,000,000","Free Agent"
"17","Carmelo Anthony","PF","NYK
                     NYK","29","2014","2018","5","$124,064,681","$24,812,936","maximum"
"18","Tim Duncan","PF","SAS
                     SAS","26","2003","2009","7","$122,007,706","$17,429,672",""
"19","Chris Bosh","PF","MIA
                     MIA","29","2014","2018","5","$118,705,300","$23,741,060","maximum"
"20","Rashard Lewis","PF","ORL
                     ORL","27","2007","2012","6","$118,200,000","$19,700,000","Free Agent"
"21","Julius Randle","PF","NYK
                     NYK","26","2022","2025","4","$117,089,280","$29,272,320","Veteran Extension"
"22","Chris Webber","PF","SAC
                     SAC","27","2001","2007","7","$116,287,500","$16,612,500",""
"T23","LeBron James","PF","CLE
                     CLE","25","2010","2013","6","$109,837,500","$18,306,250","sign-and-trade"
"T23","Chris Bosh","PF","TOR
                     TOR","25","2010","2013","6","$109,837,500","$18,306,250","sign-and-trade"
"25","Juwan Howard","PF","WAS
                     WAS","22","1996","2002","7","$105,375,000","$15,053,571",""
"26","Jaren Jackson Jr.","PF","MEM
                     MEM","22","2022","2025","4","$104,720,000","$26,180,000","Rookie Extension"
"27","LeBron James","PF","LAL
                     LAL","39","2024","2025","2","$101,355,998","$50,677,999","maximum"
"T28","Draymond Green","PF","GSW
                     GSW","33","2023","2026","4","$100,000,000","$25,000,000","Free Agent"
"T28","Giannis Antetokounmpo","PF","MIL
                     MIL","22","2017","2020","4","$100,000,000","$25,000,000","Rookie Extension"
"T28","Kevin Garnett","PF","MIN
                     MIN","27","2004","2008","5","$100,000,000","$20,000,000","Veteran Extension"
"31","LeBron James","PF","CLE
                     CLE","31","2016","2017","3","$99,857,127","$33,285,709","maximum"
"32","Amar'e Stoudemire","PF","PHX
                     PHX","27","2010","2014","5","$99,743,996","$19,948,799",""
"33","Draymond Green","PF","GSW
                     GSW","29","2020","2023","4","$99,666,362","$24,916,591","Veteran Extension"
"34","LeBron James","PF","LAL
                     LAL","37","2023","2024","2","$99,023,288","$49,511,644","Maximum Veteran Extension"
"35","Harrison Barnes","PF","DAL
                     DAL","23","2016","2019","4","$94,438,525","$23,609,631","maximum"
"36","Kenyon Martin","PF","DEN
                     DEN","26","2004","2010","7","$91,000,000","$13,000,000",""
"T37","Kyle Kuzma","PF","WAS
                     WAS","27","2023","2026","4","$90,000,000","$22,500,000","Free Agent"
"T37","Patrick Williams","PF","CHI
                     CHI","22","2024","2028","5","$90,000,000","$18,000,000","Free Agent"
"T37","Paul Millsap","PF","DEN
                     DEN","31","2017","2019","3","$90,000,000","$30,000,000","Free Agent"
"40","Aaron Gordon","PF","DEN
                     DEN","26","2022","2025","4","$86,640,001","$21,660,000","Veteran Extension"
"41","LeBron James","PF","LAL
                     LAL","35","2021","2022","2","$85,655,532","$42,827,766","Maximum Veteran Extension"
"42","Harrison Barnes","PF","SAC
                     SAC","26","2019","2022","4","$85,000,000","$21,250,000","Free Agent"
"43","Zach Randolph","PF","POR
                     POR","23","2005","2010","6","$84,333,334","$14,055,556","Rookie Extension"
"44","LaMarcus Aldridge","PF","SAS
                     SAS","29","2015","2018","4","$84,072,030","$21,018,008","maximum"
"45","Rudy Gay","PF","MEM
                     MEM","23","2010","2014","5","$82,302,690","$16,460,538",""
"46","Elton Brand","PF","LAC
                     LAC","23","2003","2007","6","$82,200,000","$13,700,000","Free Agent"
"47","Draymond Green","PF","GSW
                     GSW","24","2015","2019","5","$82,000,000","$16,400,000",""
"T48","Dirk Nowitzki","PF","DAL
                     DAL","31","2010","2013","4","$80,000,000","$20,000,000",""
"T48","Rasheed Wallace","PF","POR
                     POR","23","1998","2003","6","$80,000,000","$13,333,333","Extension"
"T48","Ryan Anderson","PF","HOU
                     HOU","27","2016","2019","4","$80,000,000","$20,000,000",""
"T48","Aaron Gordon","PF","ORL
                     ORL","22","2018","2021","4","$80,000,000","$20,000,000",""
"T48","Davis Bertans","PF","WAS
                     WAS","28","2020","2024","5","$80,000,000","$16,000,000","Free Agent"
"53","Elton Brand","PF","PHI
                     PHI","28","2008","2012","5","$79,795,494","$15,959,099","Free Agent"
"54","David Lee","PF","NYK
                     NYK","26","2010","2015","6","$79,537,680","$13,256,280",""
"55","Antawn Jamison","PF","GSW
                     GSW","25","2002","2007","6","$79,283,532","$13,213,922","Extension"
"56","Carmelo Anthony","PF","DEN
                     DEN","22","2007","2011","5","$78,899,560","$15,779,912","rookie-maximum-extension"
"57","Amar'e Stoudemire","PF","PHX
                     PHX","23","2006","2009","5","$75,352,750","$15,070,550","Extension"
"58","Carlos Boozer","PF","CHI
                     CHI","28","2010","2013","5","$75,000,000","$15,000,000",""
