"Rank","Player","Pos","Team
                        Signed With","Age
                        At Signing","Start","End","Yrs","Value","AAV","Type"
"1","Nikola Jokic","C","DEN
                     DEN","27","2023","2027","5","$276,122,630","$55,224,526","Designated Veteran Extension"
"2","Karl-Anthony Towns","C","MIN
                     MIN","26","2024","2027","4","$220,441,984","$55,110,496","Designated Veteran Extension"
"3","Joel Embiid","C","PHI
                     PHI","27","2023","2026","4","$213,280,928","$53,320,232","Designated Veteran Extension"
"4","Rudy Gobert","C","UTA
                     UTA","28","2021","2025","5","$205,000,002","$41,000,000","Maximum Veteran Extension"
"5","Anthony Davis","C","LAL
                     LAL","27","2020","2024","5","$189,903,600","$37,980,720","maximum"
"6","Anthony Davis","C","LAL
                     LAL","30","2025","2027","3","$175,369,471","$58,456,490","Maximum Veteran Extension"
"7","Blake Griffin","C","LAC
                     LAC","27","2017","2021","5","$171,174,820","$34,234,964",""
"8","Bam Adebayo","C","MIA
                     MIA","26","2026","2028","3","$165,348,864","$55,116,288","Maximum Veteran Extension"
"9","Bam Adebayo","C","MIA
                     MIA","23","2021","2025","5","$163,000,300","$32,600,060","Designated Rookie Extension"
"10","Karl-Anthony Towns","C","MIN
                     MIN","23","2019","2023","5","$158,253,000","$31,650,600","Designated Rookie Extension"
"T11","Joel Embiid","C","PHI
                     PHI","23","2018","2022","5","$147,710,050","$29,542,010","Designated Rookie Extension"
"T11","Nikola Jokic","C","DEN
                     DEN","22","2018","2022","5","$147,710,050","$29,542,010","maximum"
"13","Deandre Ayton","C","PHX
                     PHX","23","2022","2025","4","$132,929,128","$33,232,282","maximum"
"T14","Anthony Davis","C","NOP
                     NOP","22","2016","2020","5","$127,171,313","$25,434,263","Maximum Veteran Extension"
"T14","Andre Drummond","C","DET
                     DET","22","2016","2020","5","$127,171,313","$25,434,263","maximum"
"16","Jermaine O'Neal","C","IND
                     IND","24","2003","2009","7","$126,588,000","$18,084,000",""
"17","Kevin Love","C","CLE
                     CLE","30","2019","2022","4","$120,402,172","$30,100,543","Veteran Extension"
"18","Shaquille O'Neal","C","LAL
                     LAL","23","1996","2002","7","$120,000,000","$17,142,857",""
"19","Al Horford","C","BOS
                     BOS","29","2016","2019","4","$113,326,228","$28,331,557","maximum"
"T20","Kevin Love","C","CLE
                     CLE","26","2015","2019","5","$113,211,750","$22,642,350","maximum"
"T20","Marc Gasol","C","MEM
                     MEM","29","2015","2019","5","$113,211,750","$22,642,350","maximum"
"22","Al Horford","C","PHI
                     PHI","32","2019","2022","4","$109,000,000","$27,250,000","Free Agent"
"23","Alonzo Mourning","C","MIA
                     MIA","25","1996","2002","7","$105,034,200","$15,004,886",""
"24","Rudy Gobert","C","UTA
                     UTA","24","2017","2020","4","$102,000,000","$25,500,000","Rookie Extension"
"25","Shaquille O'Neal","C","MIA
                     MIA","32","2005","2009","5","$101,000,000","$20,200,000",""
"T26","Steven Adams","C","OKC
                     OKC","23","2017","2020","4","$100,000,000","$25,000,000","Rookie Extension"
"T26","Nikola Vucevic","C","ORL
                     ORL","28","2019","2022","4","$100,000,000","$25,000,000","Free Agent"
"T26","Jarrett Allen","C","CLE
                     CLE","23","2021","2025","5","$100,000,000","$20,000,000","Free Agent"
"29","Hassan Whiteside","C","MIA
                     MIA","26","2016","2019","4","$98,419,538","$24,604,885","maximum"
"30","Nicolas Claxton","C","BKN
                     BKN","25","2024","2027","4","$97,000,000","$24,250,000","Free Agent"
"31","Blake Griffin","C","LAC
                     LAC","23","2013","2017","5","$94,538,626","$18,907,725","Designated Rookie Extension"
"32","Clint Capela","C","HOU
                     HOU","23","2018","2022","5","$90,000,000","$18,000,000",""
"33","Shaquille O'Neal","C","LAL
                     LAL","30","2003","2004","3","$88,500,000","$29,500,000",""
"34","DeAndre Jordan","C","LAC
                     LAC","26","2015","2018","4","$87,616,050","$21,904,013","maximum"
"35","Dwight Howard","C","HOU
                     HOU","27","2013","2016","4","$87,591,270","$21,897,818","Maximum Veteran Extension"
"36","Isaiah Hartenstein","C","OKC
                     OKC","26","2024","2026","3","$87,000,000","$29,000,000","Free Agent"
"37","Pau Gasol","C","MEM
                     MEM","24","2005","2010","6","$86,473,000","$14,412,167","Rookie Extension"
"38","Dwight Howard","C","ORL
                     ORL","21","2007","2012","5","$83,235,900","$16,647,180",""
"39","Tristan Thompson","C","CLE
                     CLE","23","2015","2019","5","$82,000,000","$16,400,000",""
