Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,Season,Efficiency,TS%,PIE,PIE_scaled
1,Jayson Tatum,PF,BOS,26,2025,2029,5,"$313,933,410 ","$62,786,682 ",Designated Veteran Extension,313933410,62786682,2023-24,1628369.0,Jayson Tatum,Jayson,1610612738.0,BOS,26.0,74.0,57.0,17.0,0.77,35.7,9.1,19.3,0.471,3.1,8.2,0.376,5.6,6.7,0.833,0.9,7.2,8.1,4.9,2.5,1.0,0.6,0.8,2.0,4.6,26.9,8.2,46.2,25.0,0.0,46.2,87.0,4.0,359.0,29.0,11.0,16.0,11.0,217.0,15.0,12.0,163.0,11.0,14.0,147.0,198.0,17.0,33.0,58.0,36.0,78.0,133.0,67.0,166.0,24.0,8.0,3.0,10.0,22.0,38.0,9.0,2023-24,27.699999999999996,0.6045487234807623,8.147221767964771e-05,74.06542056074765
2,Giannis Antetokounmpo,PF,MIL,26,2021,2025,5,"$228,200,420 ","$45,640,084 ",Designated Veteran Extension,255917070,51183414,2020-21,203507.0,Giannis Antetokounmpo,Giannis,1610612749.0,MIL,26.0,61.0,40.0,21.0,0.656,33.0,10.3,18.0,0.569,1.1,3.6,0.303,6.5,9.5,0.685,1.6,9.4,11.0,5.9,3.4,1.2,1.2,0.9,2.8,7.7,28.1,6.7,53.9,41.0,7.0,50.9,124.0,48.0,268.0,99.0,47.0,4.0,20.0,50.0,202.0,173.0,348.0,6.0,2.0,395.0,71.0,6.0,9.0,30.0,14.0,45.0,26.0,44.0,35.0,1.0,5.0,10.0,3.0,8.0,6.0,2.0,2020-21,33.300000000000004,0.633453561767358,9.794313533329493e-05,87.14953271028038
3,Scottie Barnes,PF,TOR,22,2025,2029,5,"$224,237,860 ","$44,847,572 ",Designated Rookie Extension,224237860,44847572,2023-24,1630567.0,Scottie Barnes,Scottie,1610612761.0,TOR,22.0,60.0,22.0,38.0,0.367,34.9,7.5,15.7,0.475,1.7,4.9,0.341,3.3,4.2,0.781,2.4,5.9,8.2,6.1,2.8,1.3,1.5,0.8,2.0,3.6,19.9,-2.4,44.2,25.0,4.0,41.3,215.0,276.0,77.0,414.0,25.0,50.0,48.0,207.0,110.0,100.0,284.0,51.0,47.0,257.0,34.0,35.0,31.0,27.0,23.0,32.0,15.0,72.0,164.0,45.0,51.0,432.0,19.0,22.0,7.0,25.0,2023-24,25.09999999999999,0.5670161841805335,7.411912944141237e-05,68.22429906542057
4,Zion Williamson,PF,NOP,22,2023,2027,5,"$197,230,450 ","$39,446,090 ",Designated Rookie Extension,200856009,40171201,2022-23,1629627.0,Zion Williamson,Zion,1610612740.0,NOP,22.0,29.0,17.0,12.0,0.586,33.0,9.8,16.2,0.608,0.2,0.7,0.368,6.1,8.6,0.714,2.0,5.0,7.0,4.6,3.4,1.1,0.6,1.5,2.2,6.4,26.0,5.1,42.8,5.0,0.0,41.1,406.0,347.0,418.0,135.0,59.0,12.0,44.0,46.0,423.0,439.0,188.0,12.0,8.0,359.0,44.0,63.0,48.0,63.0,9.0,55.0,111.0,2.0,129.0,6.0,16.0,17.0,23.0,105.0,39.0,28.0,2022-23,27.000000000000007,0.6505204163330666,7.941335297294183e-05,72.42990654205607
5,Pascal Siakam,PF,IND,30,2024,2027,4,"$188,950,272 ","$47,237,568 ",Free Agent,188950272,47237568,2023-24,1627783.0,Pascal Siakam,Pascal,1610612754.0,IND,30.0,80.0,38.0,42.0,0.475,33.2,8.5,15.9,0.536,1.1,3.1,0.346,3.6,5.0,0.732,1.7,5.3,7.1,4.3,1.8,0.8,0.3,0.6,2.4,4.1,21.7,1.4,38.1,15.0,1.0,36.3,23.0,124.0,49.0,339.0,53.0,26.0,45.0,95.0,213.0,203.0,279.0,41.0,35.0,347.0,66.0,48.0,47.0,75.0,86.0,173.0,272.0,135.0,73.0,37.0,38.0,147.0,45.0,45.0,16.0,48.0,2023-24,23.59999999999999,0.5994475138121547,6.911902943941232e-05,64.25233644859813
6,Domantas Sabonis,PF,SAC,27,2024,2027,4,"$186,016,000 ","$46,504,000 ",Veteran Extension,186016000,46504000,2023-24,1627734.0,Domantas Sabonis,Domantas,1610612758.0,SAC,28.0,82.0,46.0,36.0,0.561,35.7,7.7,13.0,0.594,0.4,1.1,0.379,3.6,5.1,0.704,3.6,10.1,13.7,8.2,3.3,0.9,0.6,1.0,3.0,4.6,19.4,0.8,49.3,77.0,26.0,44.7,2.0,52.0,99.0,248.0,12.0,43.0,77.0,49.0,374.0,409.0,156.0,44.0,31.0,381.0,5.0,1.0,1.0,7.0,11.0,123.0,130.0,28.0,14.0,25.0,58.0,181.0,8.0,1.0,1.0,13.0,2023-24,32.7,0.6363159275780634,9.617839415611842e-05,85.74766355140186
7,Tobias Harris,PF,PHI,26,2019,2023,5,"$180,000,000 ","$36,000,000 ",maximum,214493547,42898709,2018-19,202699.0,Tobias Harris,Tobias,1610612755.0,PHI,26.0,82.0,46.0,36.0,0.561,34.7,7.5,15.3,0.487,1.9,4.8,0.397,3.2,3.7,0.866,0.8,7.0,7.9,2.8,1.8,0.6,0.5,0.7,2.2,2.6,20.0,0.2,35.1,15.0,0.0,34.8,1.0,61.0,116.0,202.0,14.0,32.0,36.0,136.0,63.0,78.0,72.0,42.0,55.0,55.0,188.0,17.0,39.0,117.0,72.0,222.0,159.0,86.0,144.0,92.0,33.0,206.0,44.0,48.0,38.0,37.0,2018-19,21.7,0.5907372400756143,6.353068237835344e-05,59.813084112149525
8,Giannis Antetokounmpo,PF,MIL,28,2025,2027,3,"$175,369,471 ","$58,456,490 ",Maximum Veteran Extension,175369471,58456490,2023-24,203507.0,Giannis Antetokounmpo,Giannis,1610612749.0,MIL,29.0,73.0,45.0,28.0,0.616,35.2,11.5,18.8,0.611,0.5,1.7,0.274,7.0,10.7,0.657,2.7,8.8,11.5,6.5,3.4,1.2,1.1,1.2,2.9,8.3,30.4,4.6,57.4,57.0,10.0,53.5,99.0,66.0,193.0,150.0,21.0,3.0,19.0,37.0,351.0,332.0,417.0,3.0,2.0,441.0,19.0,5.0,6.0,18.0,8.0,45.0,32.0,14.0,26.0,1.0,3.0,41.0,4.0,4.0,4.0,3.0,2023-24,36.300000000000004,0.6465883954398502,0.00010676684121917734,94.1588785046729
9,Jayson Tatum,PF,BOS,22,2021,2025,5,"$163,000,300 ","$32,600,060 ",Designated Rookie Extension,182797907,36559581,2020-21,1628369.0,Jayson Tatum,Jayson,1610612738.0,BOS,23.0,64.0,34.0,30.0,0.531,35.8,9.5,20.6,0.459,2.9,7.6,0.386,4.6,5.3,0.868,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.0,1.9,4.2,26.4,2.5,44.1,15.0,1.0,44.4,89.0,100.0,115.0,223.0,10.0,10.0,3.0,221.0,21.0,20.0,144.0,23.0,29.0,90.0,206.0,27.0,38.0,67.0,38.0,46.0,161.0,36.0,193.0,35.0,11.0,81.0,19.0,30.0,17.0,16.0,2020-21,25.299999999999997,0.575614861329147,7.441325297094177e-05,68.45794392523364
10,Jerami Grant,PF,POR,29,2023,2027,5,"$160,000,000 ","$32,000,000 ",Free Agent,162941176,32588235,2022-23,203924.0,Jerami Grant,Jerami,1610612757.0,POR,29.0,63.0,28.0,35.0,0.444,35.6,6.9,14.5,0.475,2.3,5.7,0.401,4.4,5.4,0.813,0.8,3.7,4.5,2.4,1.8,0.8,0.8,0.9,2.4,4.4,20.5,-0.6,32.5,2.0,0.0,32.9,189.0,230.0,100.0,365.0,16.0,62.0,63.0,218.0,50.0,58.0,82.0,34.0,30.0,183.0,211.0,120.0,138.0,161.0,92.0,145.0,52.0,39.0,93.0,30.0,48.0,297.0,72.0,155.0,39.0,64.0,2022-23,18.599999999999998,0.6073714150272576,5.470697649247102e-05,52.803738317756995
12,LeBron James,PF,LAL,33,2018,2021,4,"$153,312,846 ","$38,328,212 ",maximum,186039124,46509781,2017-18,2544.0,LeBron James,LeBron,1610612739.0,CLE,33.0,82.0,50.0,32.0,0.61,36.9,10.5,19.3,0.542,1.8,5.0,0.367,4.7,6.5,0.731,1.2,7.5,8.6,9.1,4.2,1.4,0.9,0.8,1.7,5.4,27.5,1.3,54.1,52.0,18.0,51.6,1.0,26.0,184.0,125.0,1.0,1.0,6.0,72.0,69.0,66.0,170.0,15.0,12.0,302.0,109.0,15.0,20.0,3.0,4.0,36.0,56.0,53.0,273.0,12.0,3.0,141.0,3.0,5.0,2.0,3.0,2017-18,32.7,0.6204873646209387,9.647251768564782e-05,85.98130841121493
13,Pascal Siakam,PF,TOR,25,2020,2023,4,"$136,905,216 ","$34,226,304 ",rookie-maximum-extension,161186318,40296579,2019-20,1627783.0,Pascal Siakam,Pascal,1610612761.0,TOR,26.0,60.0,46.0,14.0,0.767,35.2,8.3,18.4,0.453,2.2,6.1,0.359,4.0,5.1,0.792,1.1,6.3,7.3,3.5,2.5,1.0,0.9,1.0,2.8,3.9,22.9,6.6,40.0,12.0,0.0,39.6,151.0,21.0,352.0,26.0,11.0,20.0,16.0,220.0,51.0,49.0,185.0,29.0,33.0,213.0,138.0,25.0,38.0,82.0,44.0,80.0,54.0,29.0,49.0,41.0,20.0,11.0,27.0,41.0,29.0,21.0,2019-20,21.900000000000006,0.5546405735322611,6.470717649647111e-05,60.74766355140187
