Rank,Player,Pos,Team Signed,Age At Signing,Start,End,Yrs,Value,AAV,Type,Value Adjusted,AAV adjusted,Performance Season
1,Jayson Tatum,PF,BOS,26,2025,2029,5,"$313,933,410 ","$62,786,682 ",Designated Veteran Extension,"$313,933,410.00 ",62786682.0,2023-24
2,Giannis Antetokounmpo,PF,MIL,26,2021,2025,5,"$228,200,420 ","$45,640,084 ",Designated Veteran Extension,"$255,917,070.20 ",51183414.04,2020-21
3,Scottie Barnes,PF,TOR,22,2025,2029,5,"$224,237,860 ","$44,847,572 ",Designated Rookie Extension,"$224,237,860.00 ",44847572.0,2023-24
4,Zion Williamson,PF,NOP,22,2023,2027,5,"$197,230,450 ","$39,446,090 ",Designated Rookie Extension,"$200,856,009.74 ",40171201.95,2022-23
5,Pascal Siakam,PF,IND,30,2024,2027,4,"$188,950,272 ","$47,237,568 ",Free Agent,"$188,950,272.00 ",47237568.0,2023-24
6,Domantas Sabonis,PF,SAC,27,2024,2027,4,"$186,016,000 ","$46,504,000 ",Veteran Extension,"$186,016,000.00 ",46504000.0,2023-24
7,Tobias Harris,PF,PHI,26,2019,2023,5,"$180,000,000 ","$36,000,000 ",maximum,"$214,493,547.13 ",42898709.43,2018-19
8,Giannis Antetokounmpo,PF,MIL,28,2025,2027,3,"$175,369,471 ","$58,456,490 ",Maximum Veteran Extension,"$175,369,471.00 ",58456490.33,2023-24
9,Jayson Tatum,PF,BOS,22,2021,2025,5,"$163,000,300 ","$32,600,060 ",Designated Rookie Extension,"$182,797,907.29 ",36559581.46,2020-21
10,Jerami Grant,PF,POR,29,2023,2027,5,"$160,000,000 ","$32,000,000 ",Free Agent,"$162,941,176.47 ",32588235.29,2022-23
11,Kristaps Porzingis,PF,DAL,23,2019,2023,5,"$158,253,000 ","$31,650,600 ",maximum,"$188,579,151.74 ",37715830.35,2018-19
12,LeBron James,PF,LAL,33,2018,2021,4,"$153,312,846 ","$38,328,212 ",maximum,"$186,039,124.56 ",46509781.14,2017-18
13,Pascal Siakam,PF,TOR,25,2020,2023,4,"$136,905,216 ","$34,226,304 ",rookie-maximum-extension,"$161,186,318.84 ",40296579.71,2019-20
14,Jaden McDaniels,PF,MIN,23,2024,2028,5,"$131,000,000 ","$26,200,000 ",Rookie Extension,"$131,000,000.00 ",26200000.0,2023-24
16,John Collins,PF,ATL,23,2021,2025,5,"$125,000,000 ","$25,000,000 ",Free Agent,"$140,182,186.23 ",28036437.25,2020-21
17,Carmelo Anthony,PF,NYK,29,2014,2018,5,"$124,064,681 ","$24,812,936 ",maximum,"$159,706,414.45 ",31941282.89,2013-14
18,Tim Duncan,PF,SAS,26,2003,2009,7,"$122,007,706 ","$17,429,672 ",,"$202,042,108.79 ",28863158.4,2002-03
19,Chris Bosh,PF,MIA,29,2014,2018,5,"$118,705,300 ","$23,741,060 ",maximum,"$152,807,371.82 ",30561474.36,2013-14
20,Rashard Lewis,PF,ORL,27,2007,2012,6,"$118,200,000 ","$19,700,000 ",Free Agent,"$173,736,324.17 ",28956054.03,2006-07
21,Julius Randle,PF,NYK,26,2022,2025,4,"$117,089,280 ","$29,272,320 ",Veteran Extension,"$124,094,273.45 ",31023568.36,2021-22
22,Chris Webber,PF,SAC,27,2001,2007,7,"$116,287,500 ","$16,612,500 ",,"$200,072,282.61 ",28581754.66,2000-01
T23,LeBron James,PF,CLE,25,2010,2013,6,"$109,837,500 ","$18,306,250 ",sign-and-trade,"$153,450,189.13 ",25575031.52,2009-10
T23,Chris Bosh,PF,TOR,25,2010,2013,6,"$109,837,500 ","$18,306,250 ",sign-and-trade,"$153,450,189.13 ",25575031.52,2009-10
26,Jaren Jackson Jr.,PF,MEM,22,2022,2025,4,"$104,720,000 ","$26,180,000 ",Rookie Extension,"$110,984,987.83 ",27746246.96,2021-22
27,LeBron James,PF,LAL,39,2024,2025,2,"$101,355,998 ","$50,677,999 ",maximum,"$101,355,998.00 ",50677999.0,2023-24
T28,Draymond Green,PF,GSW,33,2023,2026,4,"$100,000,000 ","$25,000,000 ",Free Agent,"$101,838,235.29 ",25459558.82,2022-23
T28,Giannis Antetokounmpo,PF,MIL,22,2017,2020,4,"$100,000,000 ","$25,000,000 ",Rookie Extension,"$124,316,605.47 ",31079151.37,2016-17
T28,Kevin Garnett,PF,MIN,27,2004,2008,5,"$100,000,000 ","$20,000,000 ",Veteran Extension,"$161,302,276.34 ",32260455.27,2003-04
31,LeBron James,PF,CLE,31,2016,2017,3,"$99,857,127 ","$33,285,709 ",maximum,"$126,776,944.15 ",42258981.38,2015-16
32,Amar'e Stoudemire,PF,PHX,27,2010,2014,5,"$99,743,996 ","$19,948,799 ",,"$139,348,902.25 ",27869780.45,2009-10
33,Draymond Green,PF,GSW,29,2020,2023,4,"$99,666,362 ","$24,916,591 ",Veteran Extension,"$117,342,892.20 ",29335723.05,2019-20
34,LeBron James,PF,LAL,37,2023,2024,2,"$99,023,288 ","$49,511,644 ",Maximum Veteran Extension,"$100,843,569.03 ",50421784.52,2022-23
35,Harrison Barnes,PF,DAL,23,2016,2019,4,"$94,438,525 ","$23,609,631 ",maximum,"$119,897,577.36 ",29974394.34,2015-16
36,Kenyon Martin,PF,DEN,26,2004,2010,7,"$91,000,000 ","$13,000,000 ",,"$146,785,071.47 ",20969295.92,2003-04
T37,Kyle Kuzma,PF,WAS,27,2023,2026,4,"$90,000,000 ","$22,500,000 ",Free Agent,"$91,654,411.76 ",22913602.94,2022-23
T37,Patrick Williams,PF,CHI,22,2024,2028,5,"$90,000,000 ","$18,000,000 ",Free Agent,"$90,000,000.00 ",18000000.0,2023-24
T37,Paul Millsap,PF,DEN,31,2017,2019,3,"$90,000,000 ","$30,000,000 ",Free Agent,"$111,884,944.92 ",37294981.64,2016-17
40,Aaron Gordon,PF,DEN,26,2022,2025,4,"$86,640,001 ","$21,660,000 ",Veteran Extension,"$91,823,333.23 ",22955833.31,2021-22
41,LeBron James,PF,LAL,35,2021,2022,2,"$85,655,532 ","$42,827,766 ",Maximum Veteran Extension,"$96,059,037.91 ",48029518.95,2020-21
42,Harrison Barnes,PF,SAC,26,2019,2022,4,"$85,000,000 ","$21,250,000 ",Free Agent,"$101,288,619.48 ",25322154.87,2018-19
43,Zach Randolph,PF,POR,23,2005,2010,6,"$84,333,334 ","$14,055,556 ",Rookie Extension,"$131,573,819.10 ",21928969.85,2004-05
44,LaMarcus Aldridge,PF,SAS,29,2015,2018,4,"$84,072,030 ","$21,018,008 ",maximum,"$108,087,542.37 ",27021885.59,2014-15
45,Rudy Gay,PF,MEM,23,2010,2014,5,"$82,302,690 ","$16,460,538 ",,"$114,982,254.21 ",22996450.84,2009-10
46,Elton Brand,PF,LAC,23,2003,2007,6,"$82,200,000 ","$13,700,000 ",Free Agent,"$136,121,413.04 ",22686902.17,2002-03
47,Draymond Green,PF,GSW,24,2015,2019,5,"$82,000,000 ","$16,400,000 ",,"$105,423,628.69 ",21084725.74,2014-15
T48,Dirk Nowitzki,PF,DAL,31,2010,2013,4,"$80,000,000 ","$20,000,000 ",,"$111,765,245.30 ",27941311.32,2009-10
T48,Ryan Anderson,PF,HOU,27,2016,2019,4,"$80,000,000 ","$20,000,000 ",,"$101,566,666.67 ",25391666.67,2015-16
T48,Aaron Gordon,PF,ORL,22,2018,2021,4,"$80,000,000 ","$20,000,000 ",,"$97,076,861.81 ",24269215.45,2017-18
T48,Davis Bertans,PF,WAS,28,2020,2024,5,"$80,000,000 ","$16,000,000 ",Free Agent,"$94,188,562.60 ",18837712.52,2019-20
53,Elton Brand,PF,PHI,28,2008,2012,5,"$79,795,494 ","$15,959,099 ",Free Agent,"$112,929,340.56 ",22585868.11,2007-08
